,symbol,name,reportDate,fiscalDateEnding,estimate,currency,unit_estimate,beta,beta_rel
5177,RGNX,Regenxbio Inc,2022-02-28,2021-12-31,4.71,USD,0.18234610971397228,1.0,0.0
5038,QD,Qudian Inc,2022-03-28,2021-12-31,0.14,USD,0.16706443923587416,0.97,0.030000000000000027
2041,ENDP,Endo International plc,2022-02-28,2021-12-31,0.67,USD,0.20615384615384616,1.15,0.1499999999999999
3767,MANU,Manchester United Plc. - Class A,2022-03-02,2021-12-31,2.0,GBP,0.15060241266680593,0.71,0.29000000000000004
5704,SRAX,SRAX Inc - Class A,2022-03-28,2021-12-31,2.53,USD,0.5698198124762722,1.81,0.81
2266,FENC,Fennec Pharmaceuticals Inc,2022-03-28,2021-12-31,0.75,USD,0.13812155132783346,0.04,0.96
6681,X,United States Steel Corp,2022-04-27,2022-03-31,3.62,USD,0.13452248311135273,2.11,1.1099999999999999
6389,VIR,Vir Biotechnology Inc,2022-05-04,2022-03-31,4.49,USD,0.16133668747067959,-1.2,2.2
4278,NM,Navios Maritime Holdings Inc,2022-04-19,2022-03-31,2.81,USD,0.7317708496896864,,
2658,GOCO,GoHealth Inc - Class A,2022-03-07,2021-12-31,0.74,USD,0.33484162317955013,,
